融资主体,count
深圳市易瑞生物技术股份有限公司,5
深圳博升光电科技有限公司,5
重庆摩方精密科技股份有限公司,5
北京感易智能科技有限公司,5
慕恩（广州）生物科技有限公司,5
百奥赛图（北京）医药科技股份有限公司,5
南京仁芯科技有限公司,5
浙江赛思电子科技有限公司,5
北京梦之墨科技有限公司,5
苏州镭明激光科技有限公司,5
杭州捷配信息科技有限公司,5
巨翊科技（上海）有限公司,5
上海西井科技股份有限公司,5
苏州引航生物科技有限公司,5
北京深睿博联科技有限责任公司,5
厦门云天半导体科技有限公司,5
北京斯年智驾科技有限公司,5
星恒电源股份有限公司,5
慧安金科（北京）科技有限公司,5
上海极橙医疗科技有限公司,5
上海序康医疗科技有限公司,5
合肥保碧新能源科技有限公司,5
深圳中科飞测科技股份有限公司,5
深圳华大基因股份有限公司,5
北京优锘科技股份有限公司,5
拓创生物科技（苏州）有限公司,5
康朴生物医药技术（合肥）有限公司,5
中钛新材料集团股份有限公司,5
上海励楷科技有限公司,5
上海冰鉴信息科技有限公司,5
湖南视比特机器人有限公司,5
虹软科技股份有限公司,5
合肥中恒微半导体有限公司,5
广东墨睿科技有限公司,5
江苏中车数字科技有限公司,5
江苏北人智能制造科技股份有限公司,5
深圳市杰成镍钴新能源科技有限公司,5
江苏中天安驰科技有限公司,5
成都优赛诺生物科技有限公司,5
瑞莱谱（杭州）医疗科技有限公司,5
芯爱科技（南京）有限公司,5
意特利（上海）科技有限公司,5
上海云骥智行智能科技有限公司,5
上海为旌科技有限公司,5
深圳迅策科技有限公司,5
上海挚盟医药科技有限公司,5
中鼎恒盛气体设备（芜湖）股份有限公司,5
上海氢晨新能源科技有限公司,5
新美光（苏州）半导体科技有限公司,5
苏州星曜坤泽生物制药有限公司,5
上海捍宇医疗科技股份有限公司,5
华谱科仪（北京）科技有限公司,5
深圳市瑞云科技股份有限公司,5
成都士兰半导体制造有限公司,5
江苏新扬新材料股份有限公司,5
硅谷数模（苏州）半导体股份有限公司,5
北京夏禾科技有限公司,5
北京志道生物科技有限公司,5
芯三代半导体科技（苏州）有限公司,5
深圳市安仕新能源科技有限公司,5
长春海谱润斯科技股份有限公司,5
深圳传世生物医疗有限公司,5
中设工程咨询（重庆）股份有限公司,5
溧阳天目先导电池材料科技有限公司,5
深圳市领星网络科技有限公司,5
云南宇泽半导体有限公司,5
江苏微导纳米科技股份有限公司,5
黑芝麻智能科技（上海）有限公司,5
重庆市紫建电子股份有限公司,5
昆仑芯（北京）科技有限公司,5
